part_id,week,weekly_consumption
P-2048,22,12.9
P-2048,23,16.6
P-2048,24,15.9
P-2048,25,14.5
P-2049,0,3.8
P-2049,1,5.8
P-2049,2,5.3
P-2049,3,5.5
P-2049,4,5.8
P-2049,5,5.3
P-2049,6,2.9
P-2049,7,2.0
P-2049,8,1.7
P-2049,9,0
P-2049,10,1.2
P-2049,11,1.8
P-2049,12,3.5
P-2049,13,5.2
P-2049,14,6.0
P-2049,15,5.7
P-2049,16,5.6
P-2049,17,5.6
P-2049,18,3.7
P-2049,19,2.6
P-2049,20,1.3
P-2049,21,1.2
P-2049,22,1.0
P-2049,23,1.8
P-2049,24,4.0
P-2049,25,5.5
P-2050,0,6.9
P-2050,1,9.8
P-2050,2,10.2
P-2050,3,11.3
P-2050,4,10.3
P-2050,5,7.2
P-2050,6,8.2
P-2050,7,7.2
P-2050,8,7.6
P-2050,9,5.5
P-2050,10,8.9
P-2050,11,4.9
P-2050,12,10.4
P-2050,13,9.4
P-2050,14,11.7
P-2050,15,10.9
P-2050,16,12.0
P-2050,17,9.1
P-2050,18,7.0
P-2050,19,9.2
P-2050,20,6.3
P-2050,21,6.4
P-2050,22,8.0
P-2050,23,5.8
P-2050,24,9.1
P-2050,25,8.6
P-2051,0,16.2
P-2051,1,16.4
P-2051,2,23.4
P-2051,3,18.6
P-2051,4,22.8
P-2051,5,18.8
P-2051,6,16.8
P-2051,7,15.0
P-2051,8,16.0
P-2051,9,21.5
P-2051,10,14.5
P-2051,11,24.0
P-2051,12,16.1
P-2051,13,21.2
P-2051,14,19.0
P-2051,15,18.6
P-2051,16,15.7
P-2051,17,18.6
P-2051,18,14.9
P-2051,19,12.8
P-2051,20,17.5
P-2051,21,15.1
P-2051,22,21.9
P-2051,23,20.3
P-2051,24,22.8
P-2051,25,16.6
P-2052,0,13.3
P-2052,1,13.7
P-2052,2,11.3
P-2052,3,10.8
P-2052,4,11.4
P-2052,5,12.1
P-2052,6,13.1
P-2052,7,11.6
P-2052,8,12.6
P-2052,9,14.4
P-2052,10,12.2
P-2052,11,12.1
P-2052,12,9.0
P-2052,13,7.1
P-2052,14,12.4
P-2052,15,11.5
P-2052,16,10.8
P-2052,17,12.1
P-2052,18,11.6
P-2052,19,13.7
P-2052,20,11.9
P-2052,21,10.5
P-2052,22,13.5
P-2052,23,11.4
P-2052,24,12.7
P-2052,25,11.0
P-2053,0,10.7
P-2053,1,16.5
P-2053,2,19.8
P-2053,3,17.4
P-2053,4,15.1
P-2053,5,14.7
P-2053,6,13.7
P-2053,7,11.5
P-2053,8,11.6
P-2053,9,14.9
P-2053,10,10.5
P-2053,11,11.8
P-2053,12,15.3
P-2053,13,15.3
P-2053,14,13.8
P-2053,15,17.0
P-2053,16,16.4
P-2053,17,17.7
P-2053,18,11.9
P-2053,19,14.7
P-2053,20,11.2
P-2053,21,8.5
P-2053,22,8.4
P-2053,23,16.7
P-2053,24,13.4
P-2053,25,17.3
P-2054,0,16.7
P-2054,1,11.6
P-2054,2,8.9
P-2054,3,16.7
P-2054,4,15.9
P-2054,5,12.6
P-2054,6,12.3
P-2054,7,11.7
P-2054,8,13.6
P-2054,9,11.9
P-2054,10,14.5
P-2054,11,7.7
P-2054,12,12.6
P-2054,13,12.6
P-2054,14,14.9
P-2054,15,14.5
P-2054,16,17.2
P-2054,17,11.1
P-2054,18,14.6
P-2054,19,15.2
P-2054,20,17.5
P-2054,21,12.4
P-2054,22,14.3
P-2054,23,10.1
P-2054,24,9.5
P-2054,25,17.0
P-2055,0,8.1
P-2055,1,7.2
P-2055,2,8.5
P-2055,3,7.3
P-2055,4,8.5
P-2055,5,9.3
P-2055,6,7.5
P-2055,7,4.6
P-2055,8,3.9
P-2055,9,3.0
P-2055,10,3.7
P-2055,11,3.8
P-2055,12,6.7
P-2055,13,9.5
P-2055,14,9.5
P-2055,15,10.8
P-2055,16,10.3
P-2055,17,8.0
P-2055,18,6.6
P-2055,19,5.4
P-2055,20,3.7
P-2055,21,5.0
P-2055,22,2.8
P-2055,23,6.9
P-2055,24,7.8
P-2055,25,9.5
P-2056,0,22.6
P-2056,1,26.1
P-2056,2,20.5
P-2056,3,28.1
P-2056,4,22.9
P-2056,5,19.6
P-2056,6,24.9
P-2056,7,19.8
P-2056,8,22.6
P-2056,9,18.9
P-2056,10,19.9
P-2056,11,22.3
P-2056,12,22.4
P-2056,13,15.8
P-2056,14,19.2
P-2056,15,26.1
P-2056,16,22.4
P-2056,17,20.5
P-2056,18,16.8
P-2056,19,16.9
P-2056,20,13.1
P-2056,21,19.1
P-2056,22,17.7
P-2056,23,17.1
P-2056,24,20.9
P-2056,25,23.1
P-2057,0,13.7
P-2057,1,11.7
P-2057,2,16.2
P-2057,3,18.1
P-2057,4,15.4
P-2057,5,12.7
P-2057,6,12.6
P-2057,7,9.7
P-2057,8,8.4
P-2057,9,10.8
P-2057,10,9.7
P-2057,11,13.2
P-2057,12,11.7
P-2057,13,13.4
P-2057,14,14.1
P-2057,15,13.5
P-2057,16,16.7
P-2057,17,18.1
P-2057,18,12.0
P-2057,19,10.0
P-2057,20,8.8
P-2057,21,8.6
P-2057,22,13.2
P-2057,23,10.0
P-2057,24,11.8
P-2057,25,12.1
P-2058,0,10.0
P-2058,1,13.7
P-2058,2,13.3
P-2058,3,13.3
P-2058,4,13.9
P-2058,5,9.9
P-2058,6,12.3
P-2058,7,10.7
P-2058,8,8.5
P-2058,9,10.5
P-2058,10,7.4
P-2058,11,12.3
P-2058,12,12.2
P-2058,13,12.9
P-2058,14,14.5
P-2058,15,14.8
P-2058,16,16.7
P-2058,17,12.0
P-2058,18,11.1
P-2058,19,12.7
P-2058,20,9.1
P-2058,21,11.2
P-2058,22,13.0
P-2058,23,10.7
P-2058,24,14.0
P-2058,25,12.4
P-2059,0,17.0
P-2059,1,20.1
P-2059,2,16.1
P-2059,3,12.5
P-2059,4,18.8
P-2059,5,12.3
P-2059,6,16.8
P-2059,7,18.6
P-2059,8,16.9
P-2059,9,21.6
P-2059,10,11.6
P-2059,11,16.3
P-2059,12,16.9
P-2059,13,13.9
P-2059,14,14.6
P-2059,15,15.5
P-2059,16,14.9
P-2059,17,17.2
P-2059,18,15.8
P-2059,19,17.9
P-2059,20,18.6
P-2059,21,18.4
P-2059,22,16.1
P-2059,23,18.1
P-2059,24,20.2
P-2059,25,19.1
